Match,Red 1, Red 2, Red 3, Blue 1, Blue 2, Blue 3, Type, Tournament, Red Score, Blue Score
1,4639,3741,457,1865,4355,2582, Seeding, Lone Star Regional, 8,44
2,3730,441,4746,4155,3335,3961, Seeding, Lone Star Regional, 10,7
3,2882,2585,3696,1801,3847,704, Seeding, Lone Star Regional, 6,36
4,3666,4587,3735,2737,3526,2982, Seeding, Lone Star Regional, 38,3
5,2789,2881,4731,118,2936,4589, Seeding, Lone Star Regional, 18,109
6,4689,4672,3612,4328,3481,418, Seeding, Lone Star Regional, 0,33
7,2587,4346,653,3728,3305,3672, Seeding, Lone Star Regional, 37,17
8,192,3516,3103,624,3833,148, Seeding, Lone Star Regional, 21,67
9,57,1429,231,2438,4295,1255, Seeding, Lone Star Regional, 29,2
10,4280,3035,3730,1477,2882,2789, Seeding, Lone Star Regional, 22,56
11,1801,3526,118,441,457,4672, Seeding, Lone Star Regional, 58,15
12,1865,4587,3305,3696,3847,3735, Seeding, Lone Star Regional, 0,0
13,3833,3728,3103,4155,2936,3481, Seeding, Lone Star Regional, 6,36
14,2587,3335,624,1429,418,4295, Seeding, Lone Star Regional, 45,36
15,2982,653,3666,3741,1255,3035, Seeding, Lone Star Regional, 26,0
16,4731,4639,2582,1477,4328,231, Seeding, Lone Star Regional, 52,62
17,57,148,4355,2585,4746,704, Seeding, Lone Star Regional, 100,39
18,4589,2881,4689,3516,2737,2438, Seeding, Lone Star Regional, 20,0
19,3672,4346,3612,192,4280,3961, Seeding, Lone Star Regional, 20,44
20,4155,3696,418,118,3481,653, Seeding, Lone Star Regional, 24,55
21,2982,4639,2587,457,3103,1801, Seeding, Lone Star Regional, 18,20
22,4587,3833,231,3741,441,704, Seeding, Lone Star Regional, 30,70
23,1255,2582,3730,3728,2737,148, Seeding, Lone Star Regional, 58,64
24,3516,4328,3961,3735,2882,3335, Seeding, Lone Star Regional, 34,24
25,4280,624,1429,4589,57,4672, Seeding, Lone Star Regional, 41,48
26,2789,3847,192,4689,4295,4731, Seeding, Lone Star Regional, 18,22
27,3035,4746,4355,3526,3672,2438, Seeding, Lone Star Regional, 21,30
28,2585,3612,3305,3666,1865,2881, Seeding, Lone Star Regional, 4,35
29,2936,1477,3516,4346,118,2982, Seeding, Lone Star Regional, 38,10
30,3481,3730,3735,457,2582,57, Seeding, Lone Star Regional, 41,58
31,3833,3696,441,4731,1255,4672, Seeding, Lone Star Regional, 61,22
32,624,3961,2438,3847,2587,148, Seeding, Lone Star Regional, 40,82
33,3103,3672,2882,1865,3728,1429, Seeding, Lone Star Regional, 54,32
34,2881,3335,4280,653,704,3526, Seeding, Lone Star Regional, 7,36
35,2789,4355,3305,2737,1477,3612, Seeding, Lone Star Regional, 13,53
36,231,192,4589,3666,4155,1801, Seeding, Lone Star Regional, 69,42
37,4295,4639,3035,418,4587,2936, Seeding, Lone Star Regional, 33,40
38,3741,4746,4346,4689,2585,4328, Seeding, Lone Star Regional, 35,45
39,118,441,3847,57,3735,3728, Seeding, Lone Star Regional, 33,32
40,3335,148,4731,3612,1865,2982, Seeding, Lone Star Regional, 32,10
41,3666,4589,2582,2882,4355,3833, Seeding, Lone Star Regional, 55,44
42,4280,3481,3696,4295,2881,2737, Seeding, Lone Star Regional, 5,14
43,192,4639,3526,2789,2585,1429, Seeding, Lone Star Regional, 10,45
44,1477,4672,653,4746,3516,2587, Seeding, Lone Star Regional, 58,49
45,4587,3730,624,1801,3672,1255, Seeding, Lone Star Regional, 68,35
46,4689,704,2438,3961,2936,3103, Seeding, Lone Star Regional, 45,22
47,457,3035,231,4346,4328,3305, Seeding, Lone Star Regional, 13,16
48,418,3741,2881,4155,2789,148, Seeding, Lone Star Regional, 26,22
49,3526,3833,1865,4295,57,653, Seeding, Lone Star Regional, 0,36
50,2982,3516,4355,2587,3730,3696, Seeding, Lone Star Regional, 28,76
51,2882,1255,441,3481,4639,3612, Seeding, Lone Star Regional, 19,26
52,2936,2438,2585,4280,3735,4328, Seeding, Lone Star Regional, 52,27
53,4589,3728,1801,4746,3305,418, Seeding, Lone Star Regional, 6,26
54,4155,2737,4346,704,4731,624, Seeding, Lone Star Regional, 21,61
55,118,2582,192,3035,3335,3103, Seeding, Lone Star Regional, 95,40
56,457,3666,1429,4587,3961,4689, Seeding, Lone Star Regional, 25,30
57,4672,3672,231,3741,3847,1477, Seeding, Lone Star Regional, 63,82
58,4295,3305,2936,3516,148,2882, Seeding, Lone Star Regional, 51,95
59,624,2789,3735,4746,3833,3481, Seeding, Lone Star Regional, 58,2
60,118,4328,4731,2587,4355,4280, Seeding, Lone Star Regional, 95,81
61,2438,2582,2982,441,418,653, Seeding, Lone Star Regional, 40,22
62,3730,4672,2737,1865,3103,4346, Seeding, Lone Star Regional, 12,40
63,1801,57,3335,3672,3666,4689, Seeding, Lone Star Regional, 65,54
64,3741,4589,3961,3728,4639,3696, Seeding, Lone Star Regional, 14,10
65,4155,2585,1477,457,3612,4587, Seeding, Lone Star Regional, 68,35
66,3847,231,1255,3526,3035,2881, Seeding, Lone Star Regional, 54,30
67,704,3481,2982,1429,192,4328, Seeding, Lone Star Regional, 45,88
68,2737,2882,2936,2587,57,418, Seeding, Lone Star Regional, 46,124
69,148,653,3735,4639,4346,4589, Seeding, Lone Star Regional, 43,15
70,3335,4672,3728,4587,2585,4731, Seeding, Lone Star Regional, 30,71
71,1477,4746,3103,3696,231,3666, Seeding, Lone Star Regional, 60,70
72,3672,704,457,1255,3516,2789, Seeding, Lone Star Regional, 83,6
73,3741,118,2438,3730,3612,192, Seeding, Lone Star Regional, 106,49
74,4155,4295,3526,3305,3961,2582, Seeding, Lone Star Regional, 23,30
75,1865,4280,4689,3035,441,624, Seeding, Lone Star Regional, 20,31
76,4355,1429,1801,3833,3847,2881, Seeding, Lone Star Regional, 84,22
77,4328,2789,653,57,4587,3103, Seeding, Lone Star Regional, 36,47
78,2737,2587,3481,231,3335,3741, Seeding, Lone Star Regional, 55,73
79,2438,3728,3666,4672,3516,704, Seeding, Lone Star Regional, 19,11
80,3696,2936,3612,3526,624,2582, Seeding, Lone Star Regional, 38,55
81,1865,457,3847,4155,4280,4746, Seeding, Lone Star Regional, 15,25
82,418,192,3735,4355,1477,1255, Seeding, Lone Star Regional, 34,38
83,3961,148,1429,1801,3035,4731, Seeding, Lone Star Regional, 67,14
84,3305,4689,4639,118,3730,3833, Seeding, Lone Star Regional, 10,70
85,4295,3672,4589,441,2982,2585, Seeding, Lone Star Regional, 20,22
86,2881,4346,4587,2882,4746,2582, Seeding, Lone Star Regional, 63,38
87,3847,653,2737,192,2936,457, Seeding, Lone Star Regional, 20,74
88,1801,3516,418,3741,3526,4280, Seeding, Lone Star Regional, 18,19
89,3481,1429,4731,3730,3305,3666, Seeding, Lone Star Regional, 19,9
90,704,4295,3103,3612,3735,4589, Seeding, Lone Star Regional, 53,23
91,2585,1255,1865,3961,2587,118, Seeding, Lone Star Regional, 29,104
92,3833,2789,4346,3335,2438,3696, Seeding, Lone Star Regional, 28,33
93,57,4155,3035,4355,4639,4672, Seeding, Lone Star Regional, 41,27
94,4328,2881,148,3672,1477,441, Seeding, Lone Star Regional, 59,60
95,2882,2982,3728,4689,624,231, Seeding, Lone Star Regional, 20,121
1,118,148,2789,2582,3103,3961, Elimination, Lone Star Regional, 70,39
2,2936,4587,418,2438,3741,704, Elimination, Lone Star Regional, 59,30
3,4355,624,1477,192,231,1429, Elimination, Lone Star Regional, 69,72
4,57,3847,2587,1801,4328,441, Elimination, Lone Star Regional, 54,51
5,2789,118,148,3961,3103,2582, Elimination, Lone Star Regional, 133,30
6,4587,2936,418,704,2438,3741, Elimination, Lone Star Regional, 85,23
7,1477,4355,624,231,192,1429, Elimination, Lone Star Regional, 73,101
8,3847,57,2587,4328,441,1801, Elimination, Lone Star Regional, 116,65
13,148,2789,118,4587,418,2936, Elimination, Lone Star Regional, 115,84
14,1429,231,192,3847,2587,57, Elimination, Lone Star Regional, 91,96
15,2789,148,118,418,2936,4587, Elimination, Lone Star Regional, 138,66
16,231,1429,192,2587,57,3847, Elimination, Lone Star Regional, 75,79
19,148,2789,118,2587,3847,57, Elimination, Lone Star Regional, 134,93
20,118,148,2789,57,3847,2587, Elimination, Lone Star Regional, 145,68
